date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:35	113269/113269	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:02%20GMT	https://www.maman-corp.com/assets/img/home-landing-landscape.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/home-landing-landscape.jpg	(from https://www.maman-corp.com/assets/css/main.css)
11:04:35	77714/77714	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:02%20GMT	https://www.maman-corp.com/assets/img/home-screen-2-step-2.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/home-screen-2-step-2.jpg	(from https://www.maman-corp.com/assets/css/main.css)
11:04:36	166358/166358	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/img/home-screen-3-step-2.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/home-screen-3-step-2.jpg	(from https://www.maman-corp.com/assets/css/main.css)
11:04:36	129934/129934	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/img/home-screen-4-step-2.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/home-screen-4-step-2.jpg	(from https://www.maman-corp.com/assets/css/main.css)
11:04:36	81960/81960	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/img/home-screen-7-step-2.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/home-screen-7-step-2.jpg	(from https://www.maman-corp.com/assets/css/main.css)
11:04:36	93864/93864	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:02%20GMT	https://www.maman-corp.com/assets/img/contact-header.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/contact-header.jpg	(from https://www.maman-corp.com/assets/css/main.css)
11:04:36	46174/46174	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:02%20GMT	https://www.maman-corp.com/assets/img/contact-jobs.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/contact-jobs.jpg	(from https://www.maman-corp.com/assets/css/main.css)
11:04:37	13824/13824	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:06%20GMT	https://www.maman-corp.com/assets/img/solutions-service.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/solutions-service.jpg	(from https://www.maman-corp.com/assets/css/main.css)
11:04:37	14819/14819	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:06%20GMT	https://www.maman-corp.com/assets/img/solutions-price-3.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/solutions-price-3.jpg	(from https://www.maman-corp.com/assets/css/main.css)
11:04:37	54642/54642	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:06%20GMT	https://www.maman-corp.com/assets/img/terms.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/terms.jpg	(from https://www.maman-corp.com/assets/css/main.css)
11:04:38	92104/92104	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/img/solutions-header.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/solutions-header.jpg	(from https://www.maman-corp.com/solutions)
11:04:38	53809/53809	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:06%20GMT	https://www.maman-corp.com/assets/img/solutions-price-1.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/solutions-price-1.jpg	(from https://www.maman-corp.com/solutions)
11:04:38	57191/57191	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:06%20GMT	https://www.maman-corp.com/assets/img/solutions-price-2.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/solutions-price-2.jpg	(from https://www.maman-corp.com/solutions)
11:04:38	329811/329811	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:06%20GMT	https://www.maman-corp.com/assets/img/solutions-sector-industry.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/solutions-sector-industry.jpg	(from https://www.maman-corp.com/solutions)
11:04:39	176835/176835	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:06%20GMT	https://www.maman-corp.com/assets/img/solutions-sector-new-construction.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/solutions-sector-new-construction.jpg	(from https://www.maman-corp.com/solutions)
11:04:39	73288/73288	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:06%20GMT	https://www.maman-corp.com/assets/img/solutions-sector-renovation.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/solutions-sector-renovation.jpg	(from https://www.maman-corp.com/solutions)
11:04:39	56996/56996	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:06%20GMT	https://www.maman-corp.com/assets/img/solutions-sector-start-up.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/solutions-sector-start-up.jpg	(from https://www.maman-corp.com/solutions)
11:04:39	103952/103952	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:06%20GMT	https://www.maman-corp.com/assets/img/solutions-sector-tenant-improvements.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/solutions-sector-tenant-improvements.jpg	(from https://www.maman-corp.com/solutions)
11:04:40	12086/12086	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/img/process-step-1.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/process-step-1.jpg	(from https://www.maman-corp.com/process)
11:04:40	16540/16540	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/img/process-step-2.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/process-step-2.jpg	(from https://www.maman-corp.com/process)
11:04:40	15222/15222	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/img/process-step-3.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/process-step-3.jpg	(from https://www.maman-corp.com/process)
11:04:40	19965/19965	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/img/process-step-4.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/process-step-4.jpg	(from https://www.maman-corp.com/process)
11:04:41	21575/21575	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/img/process-step-5.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/process-step-5.jpg	(from https://www.maman-corp.com/process)
11:04:41	19915/19915	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Jun%202018%2008:28:04%20GMT	https://www.maman-corp.com/assets/img/process-step-6.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/assets/img/process-step-6.jpg	(from https://www.maman-corp.com/process)
11:04:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Apr%202023%2005:34:42%20GMT	https://maman-corp.com/admin/wp-content/uploads/2018/05/IMG_2677.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/maman-corp.com/admin/wp-content/uploads/2018/05/IMG_2677.3f.delayed	(from https://www.maman-corp.com/project/)
